Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 1 	 TrialTime 	 4.039562 	 ImageNumber 	 2 	 Dot 	 No 	 StimulusOn 	 4.186313 	 StimulusOff 	 4.702974 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 2 	 TrialTime 	 4.704123 	 ImageNumber 	 6 	 Dot 	 No 	 StimulusOn 	 4.753008 	 StimulusOff 	 5.269652 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 3 	 TrialTime 	 5.270577 	 ImageNumber 	 7 	 Dot 	 No 	 StimulusOn 	 5.302952 	 StimulusOff 	 5.819620 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 4 	 TrialTime 	 5.820604 	 ImageNumber 	 1 	 Dot 	 Yes 	 StimulusOn 	 5.852970 	 StimulusOff 	 6.369687 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 5 	 TrialTime 	 6.371124 	 ImageNumber 	 10 	 Dot 	 No 	 StimulusOn 	 6.402990 	 StimulusOff 	 6.919637 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 6 	 TrialTime 	 6.920449 	 ImageNumber 	 4 	 Dot 	 No 	 StimulusOn 	 6.953007 	 StimulusOff 	 7.469645 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 7 	 TrialTime 	 7.470621 	 ImageNumber 	 13 	 Dot 	 No 	 StimulusOn 	 7.502992 	 StimulusOff 	 8.019650 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 8 	 TrialTime 	 8.020699 	 ImageNumber 	 12 	 Dot 	 Yes 	 StimulusOn 	 8.053015 	 StimulusOff 	 8.569638 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 9 	 TrialTime 	 8.570491 	 ImageNumber 	 15 	 Dot 	 No 	 StimulusOn 	 8.602952 	 StimulusOff 	 9.119624 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 10 	 TrialTime 	 9.120503 	 ImageNumber 	 8 	 Dot 	 No 	 StimulusOn 	 9.152978 	 StimulusOff 	 9.669640 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 11 	 TrialTime 	 9.670695 	 ImageNumber 	 5 	 Dot 	 No 	 StimulusOn 	 9.702967 	 StimulusOff 	 10.219633 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 12 	 TrialTime 	 10.221055 	 ImageNumber 	 11 	 Dot 	 No 	 StimulusOn 	 10.252945 	 StimulusOff 	 10.769612 	 ButtonPressed 	 0.000000 	 
Subject 	 2 	 InitialTime 	 176609.368905 	 BlockNumber 	 1.000000 	 BlockCondition 	 Greyscale 	 BlockTime 	 4.037280 	 TrialNumber 	 13 	 TrialTime 	 10.770577 	 ImageNumber 	 16 	 Dot 	 No 	 StimulusOn 	 10.802939 	 StimulusOff 	 11.319635 	 ButtonPressed 	 0.000000 	 
